,Energy In Bat 1,Energy In Bat 2,Energy In Bat 3,Energy Out Bat 1,Energy Out Bat 2,Energy Out Bat 3,PV Energy 1,PV Energy 2,PV Energy 3,Energy Gen 
2016-03-07,70.0,71.0,57.0,47.0,44.0,44.0,55.92,55.07,55.72,129.7
2016-03-08,65.0,70.0,54.0,51.0,52.0,49.0,47.35,46.56,46.96,134.0
2016-03-09,33.0,33.0,33.0,52.0,52.0,50.0,58.19,57.1,57.69,0.0
2016-03-10,75.0,77.0,64.0,42.0,43.0,41.0,67.73,65.85,66.82,118.2
2016-03-11,54.0,54.0,49.0,49.0,50.0,47.0,79.63,78.41,79.36,0.0
2016-03-12,51.0,52.0,48.0,52.0,53.0,53.0,77.66,76.1,77.06,0.0
2016-03-13,63.0,68.0,60.0,51.0,52.0,52.0,47.6,47.98,50.52,134.2
2016-03-14,59.0,61.0,54.0,51.0,51.0,50.0,85.44,85.49,89.32,0.0
2016-03-15,57.0,60.0,52.0,51.0,52.0,49.0,84.73,82.96,86.61,0.0
2016-03-16,58.0,60.0,51.0,51.0,51.0,50.0,86.88,86.05,89.37,0.0
2016-03-17,58.0,60.0,53.0,52.0,53.0,51.0,88.79,89.07,89.06,0.0
2016-03-18,60.0,63.0,56.0,56.0,56.0,54.0,91.93,90.46,90.36,0.0
2016-03-19,65.0,68.0,62.0,60.0,61.0,59.0,60.09,59.08,59.65,107.0
2016-03-20,56.0,55.0,53.0,61.0,62.0,58.0,40.01,39.28,39.53,120.2
2016-03-21,54.0,54.0,53.0,47.0,48.0,45.0,39.55,38.93,39.15,140.8
2016-03-22,58.0,61.0,52.0,47.0,45.0,48.0,35.64,35.08,35.36,164.9
2016-03-23,58.0,59.0,59.0,54.0,56.0,51.0,43.61,42.74,43.34,135.3
2016-03-24,68.0,70.0,60.0,55.0,55.0,53.0,47.79,46.96,47.42,144.1
2016-03-25,50.0,50.0,50.0,56.0,56.0,54.0,79.12,77.68,78.72,0.0
2016-03-26,65.0,68.0,62.0,49.0,50.0,51.0,59.77,58.03,58.64,119.1
2016-03-27,44.0,44.0,43.0,60.0,61.0,57.0,32.43,31.96,32.13,114.1
2016-03-28,68.0,63.0,62.0,44.0,47.0,49.0,41.75,41.07,41.5,167.9
2016-03-29,53.0,60.0,53.0,48.0,43.0,44.0,36.47,35.98,36.24,168.1
2016-03-30,58.0,60.0,56.0,52.0,53.0,51.0,86.04,84.95,85.93,0.0
